CMDLINE C:\Users\caligorax\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe studentcode.py
MEM 1.734375 1706729786.9584
MEM 22.179688 1706729787.0594
MEM 36.039062 1706729787.1597
MEM 41.152344 1706729787.2598
MEM 46.988281 1706729787.3602
MEM 52.101562 1706729787.4603
MEM 57.339844 1706729787.5604
MEM 59.980469 1706729787.6610
MEM 64.941406 1706729787.7611
MEM 68.562500 1706729787.8617
MEM 72.343750 1706729787.9619
MEM 82.816406 1706729788.0623
MEM 89.753906 1706729788.1626
MEM 98.132812 1706729788.2631
MEM 105.195312 1706729788.3634
MEM 113.738281 1706729788.4637
MEM 119.011719 1706729788.5639
MEM 125.300781 1706729788.6641
MEM 127.789062 1706729788.7643
MEM 203.699219 1706729788.8645
MEM 224.246094 1706729788.9647
MEM 257.382812 1706729789.0648
MEM 297.082031 1706729789.1652
MEM 312.707031 1706729789.2655
MEM 341.730469 1706729789.3660
MEM 391.582031 1706729789.4665
MEM 344.277344 1706729789.5670
MEM 907.128906 1706729789.6672
MEM 907.128906 1706729789.7673
MEM 907.128906 1706729789.8676
MEM 907.128906 1706729789.9682
MEM 980.402344 1706729790.0689
MEM 973.386719 1706729790.1691
MEM 982.093750 1706729790.2692
MEM 984.910156 1706729790.3697
MEM 983.363281 1706729790.4703
MEM 986.292969 1706729790.5704
MEM 985.062500 1706729790.6709
MEM 987.105469 1706729790.7711
MEM 987.160156 1706729790.8713
MEM 986.847656 1706729790.9715
MEM 987.953125 1706729791.0719
MEM 986.300781 1706729791.1721
MEM 987.062500 1706729791.2723
MEM 987.898438 1706729791.3726
MEM 988.542969 1706729791.4729
MEM 987.484375 1706729791.5731
MEM 987.152344 1706729791.6734
MEM 989.093750 1706729791.7739
MEM 991.058594 1706729791.8741
MEM 989.773438 1706729791.9746
MEM 989.769531 1706729792.0749
MEM 990.203125 1706729792.1754
MEM 992.808594 1706729792.2757
MEM 990.011719 1706729792.3760
MEM 992.359375 1706729792.4762
MEM 991.214844 1706729792.5766
MEM 991.871094 1706729792.6769
MEM 991.156250 1706729792.7774
MEM 991.746094 1706729792.8779
MEM 991.457031 1706729792.9781
MEM 991.394531 1706729793.0785
MEM 992.984375 1706729793.1787
MEM 992.343750 1706729793.2791
MEM 995.808594 1706729793.3792
MEM 994.261719 1706729793.4797
MEM 992.902344 1706729793.5799
MEM 994.160156 1706729793.6801
MEM 994.593750 1706729793.7807
MEM 993.832031 1706729793.8809
MEM 993.960938 1706729793.9811
MEM 993.886719 1706729794.0815
MEM 996.035156 1706729794.1816
MEM 996.289062 1706729794.2820
MEM 995.707031 1706729794.3823
MEM 996.328125 1706729794.4825
MEM 996.261719 1706729794.5826
MEM 995.558594 1706729794.6829
MEM 995.507812 1706729794.7834
MEM 996.171875 1706729794.8836
MEM 997.515625 1706729794.9838
MEM 995.664062 1706729795.0842
MEM 996.714844 1706729795.1844
MEM 996.429688 1706729795.2846
MEM 995.671875 1706729795.3848
MEM 996.761719 1706729795.4854
MEM 995.203125 1706729795.5855
MEM 996.824219 1706729795.6861
MEM 997.074219 1706729795.7863
MEM 996.371094 1706729795.8865
MEM 998.414062 1706729795.9866
MEM 997.210938 1706729796.0868
MEM 997.980469 1706729796.1870
MEM 997.250000 1706729796.2875
MEM 996.179688 1706729796.3877
MEM 998.910156 1706729796.4878
MEM 996.675781 1706729796.5880
MEM 997.695312 1706729796.6881
MEM 997.683594 1706729796.7883
MEM 997.242188 1706729796.8886
MEM 997.886719 1706729796.9888
MEM 998.632812 1706729797.0893
MEM 998.214844 1706729797.1897
MEM 998.566406 1706729797.2901
MEM 998.031250 1706729797.3902
MEM 998.898438 1706729797.4904
MEM 1000.421875 1706729797.5910
MEM 999.335938 1706729797.6912
