Gesamtzahl aller Wörter: 575

Anzahl Wortarten:
DET: 94
NOUN: 134
ADP: 67
ADJ: 15
PROPN: 82
NUM: 19
VERB: 36
AUX: 60
ADV: 43
CCONJ: 9
PART: 3
PRON: 8
X: 4
PUNCT: 1

Wort - Wortart nach pos - Wortart nach tag- Anzahl
mehr: , DET, PIAT 9
nachrichten: , NOUN, NN 6
vom: , ADP, APPRART 7
29.11.2018: , ADJ, ADJA 2
ndr: , PROPN, NE 3
fernsehen: , NOUN, NN 3
2018: , NUM, CARD 3
11: , NUM, CARD 2
29_13: , PROPN, NE 1
30: , NUM, CARD 3
mehr: , DET, PIAT 9
nachrichten: , NOUN, NN 6
vom: , ADP, APPRART 7
29.11.2018: , ADJ, ADJA 2
hamburg: , PROPN, NE 5
feuerwehr: , NOUN, NN 4
rettet: , VERB, VVFIN 1
22: , NUM, CARD 2
menschen: , NOUN, NN 8
das: , DET, ART 8
feuer: , NOUN, NN 6
war: , AUX, VAFIN 11
in: , ADP, APPR 20
einem: , DET, ART 1
haus: , NOUN, NN 8
bei: , ADP, APPR 6
dem: , DET, ART 7
feuer: , NOUN, NN 6
wurden: , AUX, VAFIN 1
die: , DET, ART 30
feuerwehr: , NOUN, NN 4
hat: , AUX, VAFIN 6
nã¤mlich: , ADV, ADV 6
alle: , DET, PIAT 1
22: , NUM, CARD 2
bewohner: , NOUN, NN 1
aus: , ADP, APPR 9
dem: , DET, ART 7
haus: , NOUN, NN 8
gerettet: , VERB, VVPP 2
die: , DET, ART 30
feuerwehr: , NOUN, NN 4
hat: , AUX, VAFIN 6
die: , DET, ART 30
menschen: , NOUN, NN 8
mit: , ADP, APPR 3
leitern: , NOUN, NN 1
aus: , ADP, APPR 9
dem: , DET, ART 7
haus: , NOUN, NN 8
gerettet: , VERB, VVPP 2
jetzt: , ADV, ADV 7
ermittelt: , VERB, VVFIN 1
die: , DET, ART 30
polizei: , NOUN, NN 4
in: , ADP, APPR 20
billstedt: , PROPN, NE 2
war: , AUX, VAFIN 11
ein: , DET, ART 8
feuer: , NOUN, NN 6
billstedt: , PROPN, NE 2
ist: , AUX, VAFIN 16
ein: , DET, ART 8
stadtâ·teil: , NOUN, NN 1
von: , ADP, APPR 11
hamburg.keine: , NOUN, NE 1
die: , DET, ART 30
feuerwehr: , NOUN, NN 4
hat: , AUX, VAFIN 6
gesagt: , VERB, VVPP 5
das: , DET, ART 8
feuer: , NOUN, NN 6
war: , AUX, VAFIN 11
in: , ADP, APPR 20
der: , DET, ART 11
nacht: , NOUN, NN 1
und: , CCONJ, KON 5
das: , DET, ART 8
feuer: , NOUN, NN 6
war: , AUX, VAFIN 11
sehr: , ADV, ADV 4
groãÿ.besonders: , PROPN, NE 1
groãÿ: , ADV, ADJD 1
war: , AUX, VAFIN 11
das: , DET, ART 8
feuer: , NOUN, NN 6
im: , ADP, APPRART 2
unteren: , ADJ, ADJA 1
teil: , NOUN, NN 1
von: , ADP, APPR 11
dem: , DET, ART 7
haus: , NOUN, NN 8
deshalb: , ADV, PROAV 6
konnten: , AUX, VMFIN 2
