Wort, POS, Count, TAG, Lexikalische Vielfalt
03.02.2020., NUM, 1, ADJA, 0.00045734
polizisten, NOUN, 171, NN, 0.07820503
anders, ADV, 1, ADV, 0.00045734
sturmfluten, NOUN, 15, NN, 0.00686009
senzel, PROPN, 1, NN, 0.00045734
wachsen, VERB, 14, VVFIN, 0.00640275
braun, ADV, 1, ADJD, 0.00045734
gallimarkt, NOUN, 5, NN, 0.00228670
draußen, ADV, 36, ADV, 0.01646422
bücher, NOUN, 3, NN, 0.00137202
anstecken, VERB, 38, VVINF, 0.01737890
wachen, NOUN, 1, NN, 0.00045734
mensch, NOUN, 599, NN, 0.27394629
entstanden, VERB, 19, VVPP, 0.00868945
elbchaussee, NOUN, 2, NN, 0.00091468
kabel, NOUN, 11, NN, 0.00503073
2021, NUM, 5, CARD, 0.00228670
06.09.2019., ADJ, 1, ADJA, 0.00045734
schwebt, VERB, 1, VVFIN, 0.00045734
schlafenden, ADJ, 1, ADJA, 0.00045734
konzerthaus, NOUN, 8, NN, 0.00365872
motor, NOUN, 23, NN, 0.01051881
geesthacht, NOUN, 3, NN, 0.00137202
informieren, VERB, 3, VVINF, 0.00137202
mobilen, ADJ, 1, ADJA, 0.00045734
fernseher, NOUN, 1, NN, 0.00045734
vorbereiten, VERB, 2, VVINF, 0.00091468
goldene, ADJ, 13, ADJA, 0.00594541
einbrüche, NOUN, 16, NN, 0.00731743
meisten, PRON, 13, PIS, 0.00594541
guter, ADJ, 21, ADJA, 0.00960413
it-experten, NOUN, 2, NN, 0.00091468
radfahren, NOUN, 1, NN, 0.00045734
endlich, ADV, 2, ADV, 0.00091468
heißen, ADJ, 3, ADJA, 0.00137202
1.200, NUM, 1, CARD, 0.00045734
christian, PROPN, 10, NE, 0.00457339
anna-lena, PROPN, 8, NE, 0.00365872
vermisst, VERB, 8, VVPP, 0.00365872
hintereinander, ADV, 2, ADV, 0.00091468
zuschauen, VERB, 1, VVINF, 0.00045734
knochengerüst, NOUN, 1, NN, 0.00045734
weiterbauen, VERB, 3, VVINF, 0.00137202
entlässt, VERB, 14, VVFIN, 0.00640275
schiffe, NOUN, 149, NN, 0.06814357
baby, NOUN, 85, NN, 0.03887385
eingestochen, VERB, 3, VVPP, 0.00137202
personalausweis, NOUN, 2, NN, 0.00091468
bezahlt, VERB, 9, VVPP, 0.00411605
maik, PROPN, 4, NE, 0.00182936
sozialministerin, NOUN, 2, NN, 0.00091468
eingebrochen, VERB, 5, VVPP, 0.00228670
01.10.2018., ADJ, 1, ADJA, 0.00045734
einiger, DET, 2, PIAT, 0.00091468
nahles, PROPN, 11, NE, 0.00503073
rolltreppen, NOUN, 1, NN, 0.00045734
frese, PROPN, 1, NE, 0.00045734
pferde, NOUN, 7, NN, 0.00320138
pfosten, NOUN, 2, NN, 0.00091468
passen, VERB, 5, VVFIN, 0.00228670
geschrien, VERB, 1, VVPP, 0.00045734
unechten, ADJ, 1, ADJA, 0.00045734
ein, DET, 3698, ART, 1.69124104
kreuzfahrtterminal, NOUN, 4, NE, 0.00182936
fernbedienung, NOUN, 3, NN, 0.00137202
flüchtlinge, NOUN, 13, NN, 0.00594541
rettungswagen, NOUN, 8, NN, 0.00365872
chemnitz, PROPN, 7, NE, 0.00320138
viel, ADV, 53, ADV, 0.02423899
osdorf, PROPN, 10, NE, 0.00457339
filmfest, NOUN, 28, NN, 0.01280550
nordseeküste, NOUN, 4, NN, 0.00182936
mortensen, PROPN, 3, NE, 0.00137202
fenster, NOUN, 30, NN, 0.01372018
kohltage, NOUN, 5, NN, 0.00228670
trösten, VERB, 1, VVFIN, 0.00045734
windsurfen, VERB, 1, VVINF, 0.00045734
07.10.2019., NOUN, 1, ADJA, 0.00045734
dietrichsdorf, PROPN, 1, NE, 0.00045734
unterschiedliche, ADJ, 6, ADJA, 0.00274404
hamburg-eppendorf, PROPN, 1, NE, 0.00045734
alexander, PROPN, 60, NE, 0.02744036
löschautos, NOUN, 2, NN, 0.00091468
18.02.2020., ADJ, 1, ADJA, 0.00045734
03.09.2019., NOUN, 1, NN, 0.00045734
grand-slam-turniere, NOUN, 2, NN, 0.00091468
sozial-demokratische, ADJ, 1, ADJA, 0.00045734
brief, NOUN, 2, NN, 0.00091468
herford, PROPN, 2, NE, 0.00091468
mäurer, PROPN, 3, NE, 0.00137202
bsc, PROPN, 1, NE, 0.00045734
ruderer, NOUN, 4, NN, 0.00182936
dreht, VERB, 10, VVFIN, 0.00457339
behält, VERB, 1, VVFIN, 0.00045734
insolvenzverwalter, NOUN, 1, NN, 0.00045734
27.09.2019., ADJ, 1, ADJA, 0.00045734
probleme, NOUN, 139, NN, 0.06357017
dersum, PROPN, 2, NE, 0.00091468
dominik, PROPN, 6, NE, 0.00274404
tabellenführer, NOUN, 2, NN, 0.00091468
milch, NOUN, 15, NN, 0.00686009
sport‑verein, PROPN, 1, NN, 0.00045734
raonic, PROPN, 2, NE, 0.00091468
elbtunnel, NOUN, 56, NN, 0.02561101
warnjacken, NOUN, 13, NN, 0.00594541
heim, NOUN, 1, NN, 0.00045734
museen, NOUN, 2, NN, 0.00091468
barrieren, NOUN, 2, NN, 0.00091468
virus, NOUN, 59, NN, 0.02698302
viewing, NOUN, 3, FM, 0.00137202
festen, ADJ, 3, ADJA, 0.00137202
4286, NUM, 1, CARD, 0.00045734
hintereinander, ADV, 1, PTKVZ, 0.00045734
eingeladen, VERB, 1, VVPP, 0.00045734
weich, ADV, 3, ADJD, 0.00137202
straßenbahn, NOUN, 13, NN, 0.00594541
mv, PROPN, 17, NE, 0.00777477
ministern, NOUN, 2, NN, 0.00091468
rucksack, NOUN, 1, NN, 0.00045734
ostern, PROPN, 12, NE, 0.00548807
heizung, NOUN, 3, NN, 0.00137202
humptrup, NOUN, 1, NE, 0.00045734
zusammengelebt, VERB, 1, VVPP, 0.00045734
42,2, NUM, 1, CARD, 0.00045734
meißner, PROPN, 1, NE, 0.00045734
leine, NOUN, 9, NN, 0.00411605
sammeltaxis, ADV, 1, NN, 0.00045734
gewerbegebiet, NOUN, 14, NN, 0.00640275
musiker, NOUN, 42, NN, 0.01920825
nackt, ADV, 1, ADJD, 0.00045734
jordanien, PROPN, 2, NE, 0.00091468
verbrannt, VERB, 1, VVPP, 0.00045734
gerade, ADV, 5, ADV, 0.00228670
beschlossen, VERB, 2, VVPP, 0.00091468
filmemacher, NOUN, 1, NN, 0.00045734
waitzstraße, NOUN, 2, NN, 0.00091468
versperrt, VERB, 4, VVFIN, 0.00182936
namika, PROPN, 1, NE, 0.00045734
altenheim, NOUN, 26, NN, 0.01189082
kleinen, PROPN, 3, NE, 0.00137202
schlimmen, ADJ, 3, ADJA, 0.00137202
ich, PRON, 271, PPER, 0.12393897
derby, NOUN, 53, NN, 0.02423899
saubere, ADJ, 2, ADJA, 0.00091468
wucht, NOUN, 1, NN, 0.00045734
leichtes, ADJ, 3, ADJA, 0.00137202
einstürzen, VERB, 8, VVINF, 0.00365872
elektrischen, ADJ, 1, ADJA, 0.00045734
lebt, VERB, 8, VVFIN, 0.00365872
graben, NOUN, 8, NN, 0.00365872
laden, VERB, 4, VVFIN, 0.00182936
bremsen, NOUN, 1, NN, 0.00045734
passwörter, NOUN, 2, NN, 0.00091468
zeitung, NOUN, 2, NN, 0.00091468
serbien, PROPN, 8, NE, 0.00365872
g20-gipfel, NOUN, 16, NN, 0.00731743
global, PROPN, 1, NE, 0.00045734
stimmzetteln, NOUN, 4, NN, 0.00182936
durchgebissen, VERB, 1, VVPP, 0.00045734
sportchef, NOUN, 47, NN, 0.02149495
sousa, PROPN, 2, NE, 0.00091468
frühen, ADJ, 4, ADJA, 0.00182936
durchfall, NOUN, 7, NN, 0.00320138
wurfhöhle, NOUN, 4, NN, 0.00182936
beifahrer, NOUN, 10, NN, 0.00457339
sonne, NOUN, 11, NN, 0.00503073
isolieren, VERB, 1, VVFIN, 0.00045734
kennt, VERB, 12, VVFIN, 0.00548807
25.11.2019., NOUN, 1, NN, 0.00045734
bayern, PROPN, 25, NE, 0.01143348
75.000, NUM, 4, CARD, 0.00182936
andrea, PROPN, 11, NE, 0.00503073
fordert, VERB, 5, VVFIN, 0.00228670
ardern, VERB, 1, NN, 0.00045734
mikrofon, NOUN, 1, NN, 0.00045734
chef, NOUN, 166, NN, 0.07591834
figuren, NOUN, 2, NN, 0.00091468
geistiger, ADJ, 1, ADJA, 0.00045734
a23., NOUN, 3, NN, 0.00137202
schönsten, ADJ, 1, ADJA, 0.00045734
segel-schiffen, NOUN, 1, NN, 0.00045734
moldau, PROPN, 2, NE, 0.00091468
07.09.2018., NOUN, 1, NN, 0.00045734
schnelle, ADJ, 4, ADJA, 0.00182936
