Wort, POS, Count, TAG, Lexikalische Vielfalt
tagesschau, NOUN, 1, NE, 0.00132732
home, PROPN, 2, NE, 0.00265463
moment, NOUN, 4, NN, 0.00530926
donnerstag, NOUN, 14, NN, 0.01858243
amundsen, PROPN, 1, NE, 0.00132732
behörden, NOUN, 4, NN, 0.00530926
getreidesilo, NOUN, 9, NN, 0.01194585
steuern, VERB, 4, VVINF, 0.00530926
tierpfleger, NOUN, 2, NN, 0.00265463
ladung, NOUN, 1, NN, 0.00132732
rosdorf, PROPN, 2, NE, 0.00265463
21, NUM, 11, CARD, 0.01460048
geübt, VERB, 1, VVPP, 0.00132732
lange, ADJ, 18, ADJA, 0.02389169
498., PROPN, 1, NE, 0.00132732
wilde, ADJ, 3, ADJA, 0.00398195
feuerwerkskörper, NOUN, 4, NN, 0.00530926
bestimmte, ADJ, 1, VVFIN, 0.00132732
weiterer, ADJ, 1, ADJA, 0.00132732
steuern, VERB, 2, VVFIN, 0.00265463
nordsee, PROPN, 34, NE, 0.04512875
pflanze, NOUN, 1, NN, 0.00132732
2021., NUM, 1, $., 0.00132732
18.06.2019., NOUN, 1, NN, 0.00132732
überlegen, VERB, 1, VVFIN, 0.00132732
golf, NOUN, 2, NN, 0.00265463
trocken, ADV, 4, ADJD, 0.00530926
kontrollieren, VERB, 4, VVFIN, 0.00530926
wohnhaus, NOUN, 47, NN, 0.06238386
liegt, VERB, 1, VVFIN, 0.00132732
schweriner, ADJ, 1, ADJA, 0.00132732
erschlagen, VERB, 1, VVPP, 0.00132732
wohnen, VERB, 4, VVFIN, 0.00530926
liga, NOUN, 3, NN, 0.00398195
rufen, VERB, 1, VVINF, 0.00132732
wem, ADV, 1, PWS, 0.00132732
2019., NOUN, 1, NN, 0.00132732
21.01.2019., NOUN, 1, ADJA, 0.00132732
sammeltaxis, ADV, 1, NN, 0.00132732
maik, PROPN, 2, NE, 0.00265463
an, ADP, 15, PTKVZ, 0.01990974
verdient, VERB, 3, VVPP, 0.00398195
ulrich, PROPN, 3, NE, 0.00398195
kennen, VERB, 4, VVFIN, 0.00530926
beinbruch, NOUN, 1, NN, 0.00132732
überwachen, VERB, 1, VVINF, 0.00132732
