Gesamtzahl aller Wörter: 75340

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
-------------------------|------|-------|-------|--------
tagesschau               | NOUN | 1     | NE    | 0.0013273161667109105
home                     | PROPN| 2     | NE    | 0.002654632333421821
moment                   | NOUN | 4     | NN    | 0.005309264666843642
donnerstag               | NOUN | 14    | NN    | 0.018582426333952747
amundsen                 | PROPN| 1     | NE    | 0.0013273161667109105
behörden                 | NOUN | 4     | NN    | 0.005309264666843642
getreidesilo             | NOUN | 9     | NN    | 0.011945845500398195
steuern                  | VERB | 4     | VVINF | 0.005309264666843642
tierpfleger              | NOUN | 2     | NN    | 0.002654632333421821
ladung                   | NOUN | 1     | NN    | 0.0013273161667109105
rosdorf                  | PROPN| 2     | NE    | 0.002654632333421821
21                       | NUM  | 11    | CARD  | 0.014600477833820015
geübt                    | VERB | 1     | VVPP  | 0.0013273161667109105
lange                    | ADJ  | 18    | ADJA  | 0.02389169100079639
498.                     | PROPN| 1     | NE    | 0.0013273161667109105
wilde                    | ADJ  | 3     | ADJA  | 0.003981948500132732
feuerwerkskörper         | NOUN | 4     | NN    | 0.005309264666843642
bestimmte                | ADJ  | 1     | VVFIN | 0.0013273161667109105
weiterer                 | ADJ  | 1     | ADJA  | 0.0013273161667109105
steuern                  | VERB | 2     | VVFIN | 0.002654632333421821
nordsee                  | PROPN| 34    | NE    | 0.04512874966817096
pflanze                  | NOUN | 1     | NN    | 0.0013273161667109105
2021.                    | NUM  | 1     | $.    | 0.0013273161667109105
18.06.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
überlegen                | VERB | 1     | VVFIN | 0.0013273161667109105
golf                     | NOUN | 2     | NN    | 0.002654632333421821
trocken                  | ADV  | 4     | ADJD  | 0.005309264666843642
kontrollieren            | VERB | 4     | VVFIN | 0.005309264666843642
wohnhaus                 | NOUN | 47    | NN    | 0.062383859835412794
liegt                    | VERB | 1     | VVFIN | 0.0013273161667109105
schweriner               | ADJ  | 1     | ADJA  | 0.0013273161667109105
erschlagen               | VERB | 1     | VVPP  | 0.0013273161667109105
wohnen                   | VERB | 4     | VVFIN | 0.005309264666843642
liga                     | NOUN | 3     | NN    | 0.003981948500132732
rufen                    | VERB | 1     | VVINF | 0.0013273161667109105
wem                      | ADV  | 1     | PWS   | 0.0013273161667109105
2019.                    | NOUN | 1     | NN    | 0.0013273161667109105
21.01.2019.              | NOUN | 1     | ADJA  | 0.0013273161667109105
sammeltaxis              | ADV  | 1     | NN    | 0.0013273161667109105
maik                     | PROPN| 2     | NE    | 0.002654632333421821
an                       | ADP  | 15    | PTKVZ | 0.019909742500663657
verdient                 | VERB | 3     | VVPP  | 0.003981948500132732
ulrich                   | PROPN| 3     | NE    | 0.003981948500132732
kennen                   | VERB | 4     | VVFIN | 0.005309264666843642
beinbruch                | NOUN | 1     | NN    | 0.0013273161667109105
überwachen               | VERB | 1     | VVINF | 0.0013273161667109105
kategorien               | NOUN | 3     | NN    | 0.003981948500132732
84:76                    | NOUN | 1     | NN    | 0.0013273161667109105
motoren                  | NOUN | 2     | NN    | 0.002654632333421821
vermissen                | VERB | 1     | VVFIN | 0.0013273161667109105
großfamilie              | NOUN | 4     | NN    | 0.005309264666843642
drohnen                  | NOUN | 1     | NN    | 0.0013273161667109105
gesperrt                 | VERB | 121   | VVPP  | 0.16060525617202018
schlange                 | NOUN | 19    | NN    | 0.0252190071675073
impfen                   | VERB | 1     | VVINF | 0.0013273161667109105
wachsen                  | VERB | 1     | VVINF | 0.0013273161667109105
04.02.2020.              | NOUN | 1     | ADJA  | 0.0013273161667109105
loren                    | PROPN| 4     | NE    | 0.005309264666843642
steinmeier               | PROPN| 6     | NE    | 0.007963897000265464
polizeiautos             | NOUN | 4     | NN    | 0.005309264666843642
desinfektionsmittel      | NOUN | 3     | NN    | 0.003981948500132732
24.06.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
wachsen                  | VERB | 2     | VVFIN | 0.002654632333421821
hatten                   | VERB | 5     | VAFIN | 0.006636580833554553
namen                    | NOUN | 7     | NN    | 0.009291213166976373
02.09.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
zeuge                    | NOUN | 1     | NN    | 0.0013273161667109105
fischen                  | VERB | 1     | VVFIN | 0.0013273161667109105
ausland                  | NOUN | 4     | NN    | 0.005309264666843642
3000                     | NUM  | 1     | CARD  | 0.0013273161667109105
telefonanruf             | NOUN | 1     | NN    | 0.0013273161667109105
hittfeld                 | PROPN| 1     | NE    | 0.0013273161667109105
lauter                   | ADJ  | 1     | ADJA  | 0.0013273161667109105
brüder                   | NOUN | 5     | NN    | 0.006636580833554553
aufträgen                | NOUN | 1     | NN    | 0.0013273161667109105
glatt                    | ADV  | 2     | ADV   | 0.002654632333421821
rinder                   | NOUN | 1     | NN    | 0.0013273161667109105
fotograf                 | NOUN | 1     | NN    | 0.0013273161667109105
24.07.2019.              | NOUN | 1     | NE    | 0.0013273161667109105
08.03.2019.              | ADJ  | 1     | ADJA  | 0.0013273161667109105
spazieren                | VERB | 1     | VVINF | 0.0013273161667109105
56.000                   | NUM  | 1     | CARD  | 0.0013273161667109105
7.                       | ADV  | 13    | PTKVZ | 0.017255110167241836
mund                     | NOUN | 2     | NN    | 0.002654632333421821
abgerissen               | VERB | 2     | VVPP  | 0.002654632333421821
ein                      | DET  | 1449  | ART   | 1.9232811255641094
keinem                   | DET  | 2     | PIAT  | 0.002654632333421821
03.12.2019.              | NOUN | 1     | ADJA  | 0.0013273161667109105
18.01.2019.              | NOUN | 1     | NE    | 0.0013273161667109105
westerland               | PROPN| 1     | NE    | 0.0013273161667109105
auszeichnung             | NOUN | 10    | NN    | 0.013273161667109106
heizung                  | NOUN | 1     | NN    | 0.0013273161667109105
gerollt                  | VERB | 2     | VVPP  | 0.002654632333421821
sommer                   | NOUN | 22    | NN    | 0.02920095566764003
aufführung               | NOUN | 11    | NN    | 0.014600477833820015
19.09.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
03.06.2019.              | NUM  | 1     | CARD  | 0.0013273161667109105
verkehrsminister         | NOUN | 1     | NN    | 0.0013273161667109105
flughäfen                | NOUN | 13    | NN    | 0.017255110167241836
2200                     | NUM  | 1     | CARD  | 0.0013273161667109105
anfang                   | NOUN | 6     | NN    | 0.007963897000265464
städte                   | NOUN | 3     | NN    | 0.003981948500132732
baumarkt                 | NOUN | 2     | NN    | 0.002654632333421821
übung                    | NOUN | 34    | NN    | 0.04512874966817096
million                  | NOUN | 2     | NN    | 0.002654632333421821
12.02.2020.              | PROPN| 1     | ADJA  | 0.0013273161667109105
bockhahn                 | PROPN| 3     | NE    | 0.003981948500132732
melsungen                | NOUN | 1     | NN    | 0.0013273161667109105
außer                    | ADP  | 1     | APPR  | 0.0013273161667109105
neunmal                  | ADV  | 1     | ADV   | 0.0013273161667109105
meisten                  | DET  | 12    | PIAT  | 0.015927794000530928
aussetzen                | VERB | 1     | VVINF | 0.0013273161667109105
600                      | NUM  | 1     | CARD  | 0.0013273161667109105
videos                   | NOUN | 3     | NN    | 0.003981948500132732
draußen                  | ADV  | 12    | ADV   | 0.015927794000530928
gerannt                  | VERB | 1     | VVPP  | 0.0013273161667109105
nord-ostsee-kanal        | PROPN| 12    | NE    | 0.015927794000530928
fisch                    | NOUN | 1     | NN    | 0.0013273161667109105
100                      | NUM  | 11    | CARD  | 0.014600477833820015
insolvenz·verwalter      | NOUN | 1     | NN    | 0.0013273161667109105
wärmer                   | ADV  | 1     | ADJD  | 0.0013273161667109105
schützt                  | VERB | 5     | VVFIN | 0.006636580833554553
sagen                    | VERB | 5     | VVINF | 0.006636580833554553
teil                     | NOUN | 51    | NN    | 0.06769312450225644
zugstrecken              | NOUN | 2     | NN    | 0.002654632333421821
ehrenamt                 | NOUN | 3     | NN    | 0.003981948500132732
20.12.2019.              | NOUN | 1     | NE    | 0.0013273161667109105
überladen                | VERB | 1     | VVPP  | 0.0013273161667109105
kirche                   | NOUN | 15    | NN    | 0.019909742500663657
gibst                    | VERB | 1     | VVFIN | 0.0013273161667109105
out                      | X    | 2     | FM    | 0.002654632333421821
beringmeer               | PROPN| 2     | NE    | 0.002654632333421821
muskeln                  | NOUN | 1     | NN    | 0.0013273161667109105
2021.                    | NUM  | 1     | NN    | 0.0013273161667109105
papenburg                | PROPN| 2     | NE    | 0.002654632333421821
mecklenburgische         | ADJ  | 1     | ADJA  | 0.0013273161667109105
kamera                   | NOUN | 5     | NN    | 0.006636580833554553
festnehmen               | VERB | 5     | VVINF | 0.006636580833554553
glas                     | NOUN | 1     | NN    | 0.0013273161667109105
fernsehsendungen         | NOUN | 2     | NN    | 0.002654632333421821
