Wort, POS, Count, TAG, Lexikalische Vielfalt
ice-züge, NOUN, 5, NN, 0.00347461
reportage, NOUN, 5, NN, 0.00347461
gefüllt, VERB, 1, VVPP, 0.00069492
retter, NOUN, 4, NN, 0.00277969
feuerwehrleute, NOUN, 67, NN, 0.04655979
umgefallen, VERB, 8, VVPP, 0.00555938
waschen, NOUN, 1, NN, 0.00069492
mundschutz, NOUN, 2, NN, 0.00138984
schleudern, NOUN, 1, NN, 0.00069492
samba, PROPN, 2, NE, 0.00138984
rebbe, PROPN, 4, NE, 0.00277969
küsten, NOUN, 1, NN, 0.00069492
hören, VERB, 42, VVINF, 0.02918673
karl-may-spielen, NOUN, 15, NN, 0.01042383
landeslied, PROPN, 1, NE, 0.00069492
heavy, NOUN, 2, NN, 0.00138984
computerprogramm, NOUN, 1, NN, 0.00069492
zugegangen, VERB, 1, VVPP, 0.00069492
anhänger, NOUN, 5, NN, 0.00347461
glücklich, ADV, 8, ADJD, 0.00555938
taschentuch, NOUN, 5, NN, 0.00347461
delmenhorst, PROPN, 8, NE, 0.00555938
schwimmern, NOUN, 2, NN, 0.00138984
getroffen, VERB, 23, VVPP, 0.01598321
operation, NOUN, 7, NN, 0.00486446
vertrag, NOUN, 6, NN, 0.00416953
großensee, PROPN, 2, NE, 0.00138984
a1, PROPN, 59, NE, 0.04100041
völsch, PROPN, 1, NN, 0.00069492
passiert, VERB, 140, VVPP, 0.09728911
hängen, VERB, 1, VVINF, 0.00069492
auszeichnungen, NOUN, 1, NN, 0.00069492
umwelt, NOUN, 14, NN, 0.00972891
lernen, VERB, 8, VVFIN, 0.00555938
wiegen, VERB, 1, VVFIN, 0.00069492
ändern, VERB, 4, VVINF, 0.00277969
löschboot, NOUN, 2, NN, 0.00138984
tage, NOUN, 19, NN, 0.01320352
arbeitern, NOUN, 18, NN, 0.01250860
peenemünde, PROPN, 1, NE, 0.00069492
normaler, ADJ, 1, ADJA, 0.00069492
kümmern, VERB, 17, VVFIN, 0.01181368
mitgenommen, VERB, 1, VVPP, 0.00069492
eichholz, PROPN, 1, NE, 0.00069492
beispiel, NOUN, 1228, NN, 0.85336447
vorher, ADV, 11, ADV, 0.00764414
kosten, VERB, 1, VVINF, 0.00069492
größte, ADJ, 47, ADJA, 0.03266134
beispiele, NOUN, 5, NN, 0.00347461
dhb, PROPN, 2, NE, 0.00138984
winterhude, PROPN, 3, NE, 0.00208477
otte-kinast, PROPN, 2, NE, 0.00138984
sonntage, NOUN, 1, NN, 0.00069492
mal, NOUN, 28, NN, 0.01945782
bahnhof, NOUN, 53, NN, 0.03683088
backhaus, PROPN, 8, NE, 0.00555938
rügendamm, PROPN, 8, NE, 0.00555938
matthies, PROPN, 1, NE, 0.00069492
erpressung, NOUN, 6, NN, 0.00416953
mord, NOUN, 7, NN, 0.00486446
geklagt, VERB, 4, VVPP, 0.00277969
ergebnisse, NOUN, 1, NN, 0.00069492
16.000, NUM, 2, CARD, 0.00138984
jahres, NOUN, 5, NN, 0.00347461
a1., ADV, 7, ADJD, 0.00486446
kleine, ADJ, 34, ADJA, 0.02362735
orte, NOUN, 28, NN, 0.01945782
flugzeugen, NOUN, 11, NN, 0.00764414
meinung, NOUN, 21, NN, 0.01459337
schweres, ADJ, 1, ADJA, 0.00069492
geworden, AUX, 36, VAPP, 0.02501720
unbekannten, NOUN, 4, NN, 0.00277969
begleitet, VERB, 1, VVFIN, 0.00069492
brakelmann, PROPN, 1, NE, 0.00069492
ausgepackt, VERB, 2, VVPP, 0.00138984
sommer, NOUN, 11, NN, 0.00764414
oberbillwerder, PROPN, 3, NE, 0.00208477
6500, NUM, 2, CARD, 0.00138984
jeder, DET, 1, PIS, 0.00069492
metall-, X, 8, TRUNC, 0.00555938
s-bahnhof, NOUN, 18, NN, 0.01250860
heizung, NOUN, 2, NN, 0.00138984
oberbillwerder, NOUN, 1, NE, 0.00069492
erkennen, VERB, 3, VVFIN, 0.00208477
bernd, PROPN, 27, NE, 0.01876290
künstlicher, ADJ, 2, ADJA, 0.00138984
arzt, NOUN, 29, NN, 0.02015274
1., ADV, 3, PTKVZ, 0.00208477
fische, NOUN, 13, NN, 0.00903399
einbrecher-bande, NOUN, 1, NN, 0.00069492
popp, PROPN, 10, NE, 0.00694922
diskussion, NOUN, 1, NN, 0.00069492
nandus, PROPN, 3, NN, 0.00208477
nordbank, NOUN, 2, NE, 0.00138984
kreuzfahrtschiffen, NOUN, 4, NN, 0.00277969
großbritannien, PROPN, 1, NE, 0.00069492
lärmschutztunnel, NOUN, 4, NN, 0.00277969
papier, NOUN, 8, NN, 0.00555938
ja, PART, 2, PTKANT, 0.00138984
paarungszeit, NOUN, 2, NN, 0.00138984
darauf, ADV, 1, PROAV, 0.00069492
genesen, VERB, 1, VVINF, 0.00069492
husten, NOUN, 7, NN, 0.00486446
autobahn, NOUN, 98, NN, 0.06810238
aschenputtel, PROPN, 1, NN, 0.00069492
umweltbundesamt, NOUN, 2, NN, 0.00138984
teuer, ADV, 21, ADJD, 0.01459337
schweinen, NOUN, 1, NN, 0.00069492
landen, NOUN, 1, NN, 0.00069492
aufgestiegen, VERB, 1, VVPP, 0.00069492
10., ADV, 1, ADV, 0.00069492
alster, NOUN, 28, NN, 0.01945782
aufsichtsrat, NOUN, 7, NN, 0.00486446
soldaten, NOUN, 12, NN, 0.00833907
bremerhaven, PROPN, 14, NE, 0.00972891
kontakt, NOUN, 10, NN, 0.00694922
messungen, NOUN, 1, NN, 0.00069492
lassen, VERB, 4, VVINF, 0.00277969
tennisturnieren, NOUN, 2, NN, 0.00138984
groß, ADV, 45, ADJD, 0.03127150
wahr, ADV, 1, PTKVZ, 0.00069492
a7, NOUN, 25, NN, 0.01737306
menschen.nicht, VERB, 2, NN, 0.00138984
90,3, NUM, 1, NN, 0.00069492
hsh, PROPN, 18, NE, 0.01250860
verkehrsbetriebe, NOUN, 3, NN, 0.00208477
engen, ADJ, 2, ADJA, 0.00138984
essen, VERB, 3, VVINF, 0.00208477
vorbereiten, VERB, 2, VVINF, 0.00138984
weinernte, NOUN, 2, NN, 0.00138984
matschke, PROPN, 2, NE, 0.00138984
gestohlen, VERB, 22, VVPP, 0.01528829
vielen, DET, 112, PIAT, 0.07783129
früh, ADV, 2, ADJD, 0.00138984
golf, NOUN, 1, NN, 0.00069492
sitz, NOUN, 1, NN, 0.00069492
treckern, NOUN, 9, NN, 0.00625430
visite, NOUN, 2, NN, 0.00138984
filmfest, NOUN, 8, NN, 0.00555938
bericht, NOUN, 2, NN, 0.00138984
stichwahl, NOUN, 2, NN, 0.00138984
entladen, VERB, 1, VVFIN, 0.00069492
terroristen, NOUN, 60, NN, 0.04169533
congress, PROPN, 2, NE, 0.00138984
117., NUM, 1, CARD, 0.00069492
2016., NUM, 2, CARD, 0.00138984
benutzen, VERB, 6, VVFIN, 0.00416953
bunte, ADJ, 12, ADJA, 0.00833907
damme, PROPN, 9, NE, 0.00625430
10.000, NUM, 4, CARD, 0.00277969
wähle, VERB, 2, VVFIN, 0.00138984
obdachlose, NOUN, 33, NN, 0.02293243
kontrolliert, VERB, 13, VVFIN, 0.00903399
wird, AUX, 70, VAFIN, 0.04864455
27, NUM, 8, CARD, 0.00555938
frese, PROPN, 1, NE, 0.00069492
eiswagen, NOUN, 10, NN, 0.00694922
verletzungen, NOUN, 7, NN, 0.00486446
tel, PROPN, 2, NE, 0.00138984
witze, NOUN, 2, NN, 0.00138984
reet, NOUN, 1, NE, 0.00069492
wahlentscheidung, NOUN, 1, NN, 0.00069492
fdp, PROPN, 13, NE, 0.00903399
2010, NUM, 2, CARD, 0.00138984
erwartet, VERB, 1, VVPP, 0.00069492
tierbabys, NOUN, 1, NN, 0.00069492
nizza, PROPN, 2, NE, 0.00138984
flüssig, ADV, 1, ADJD, 0.00069492
bleiben, VERB, 27, VVINF, 0.01876290
travemünde, PROPN, 6, NE, 0.00416953
unten, ADV, 3, ADV, 0.00208477
weist, VERB, 1, VVFIN, 0.00069492
reinigen, VERB, 2, VVINF, 0.00138984
öffnen, VERB, 17, VVINF, 0.01181368
grönemeyer, PROPN, 1, NE, 0.00069492
hexe, NOUN, 1, NN, 0.00069492
verbrecher, NOUN, 1, NN, 0.00069492
schneise, NOUN, 4, NN, 0.00277969
nordenham, PROPN, 1, NE, 0.00069492
1980., PROPN, 1, $., 0.00069492
weiterspielen, VERB, 10, VVINF, 0.00694922
durch, ADP, 104, APPR, 0.07227191
monika, PROPN, 5, NE, 0.00347461
48, NUM, 2, CARD, 0.00138984
schwester, NOUN, 2, NN, 0.00138984
96., ADJ, 1, NN, 0.00069492
zeltlager, NOUN, 7, NN, 0.00486446
stromausfälle, NOUN, 1, NN, 0.00069492
heruntergestürzt, VERB, 2, VVPP, 0.00138984
warnen, VERB, 9, VVFIN, 0.00625430
gast, NOUN, 2, NN, 0.00138984
michael, PROPN, 22, NE, 0.01528829
abgelassen, VERB, 1, VVPP, 0.00069492
repariert, VERB, 23, VVPP, 0.01598321
sievekingsallee, PROPN, 2, NE, 0.00138984
geglaubt, VERB, 10, VVPP, 0.00694922
schwänen, NOUN, 1, NN, 0.00069492
festgestellt, VERB, 3, VVPP, 0.00208477
krankenbett, NOUN, 1, NN, 0.00069492
weißer, ADJ, 1, ADJA, 0.00069492
frauen, NOUN, 41, NN, 0.02849181
fahrradfahrern, NOUN, 3, NN, 0.00208477
arbeiten, NOUN, 19, NN, 0.01320352
warnlichter, NOUN, 1, NN, 0.00069492
mehrere, PRON, 1, PIS, 0.00069492
jahr, NOUN, 228, NN, 0.15844226
fehmarn, PROPN, 1, NE, 0.00069492
märchenwald, NOUN, 3, NN, 0.00208477
vertrauen, NOUN, 1, NN, 0.00069492
sie, PRON, 250, PPER, 0.17373055
urlaub, NOUN, 54, NN, 0.03752580
sonntag, NOUN, 51, NN, 0.03544103
0:0., NOUN, 1, NN, 0.00069492
rauchen, NOUN, 1, NN, 0.00069492
kaianlage, NOUN, 5, NN, 0.00347461
volkspark, NOUN, 1, NN, 0.00069492
zähne, NOUN, 1, NN, 0.00069492
72, NUM, 4, CARD, 0.00277969
wünsche, VERB, 1, VVFIN, 0.00069492
grand-slam-turniere, NOUN, 2, NN, 0.00138984
politische, ADJ, 1, ADJA, 0.00069492
ausgegangen, VERB, 2, VVPP, 0.00138984
verletzen, VERB, 1, VVFIN, 0.00069492
finder, NOUN, 1, NN, 0.00069492
spanische, ADJ, 1, ADJA, 0.00069492
ministerpräsident, NOUN, 29, NN, 0.02015274
letzter, ADJ, 2, ADJA, 0.00138984
dritte, ADJ, 2, ADJA, 0.00138984
hwang, PROPN, 2, NE, 0.00138984
seefahrern, NOUN, 3, NN, 0.00208477
körperteile, NOUN, 6, NN, 0.00416953
niederung, NOUN, 4, NN, 0.00277969
behält, VERB, 1, VVFIN, 0.00069492
schwach, ADV, 3, ADJD, 0.00208477
doch, ADV, 1, ADV, 0.00069492
prüfen, VERB, 3, VVFIN, 0.00208477
weinreben, NOUN, 3, NN, 0.00208477
lebt, VERB, 5, VVFIN, 0.00347461
kälte, NOUN, 3, NN, 0.00208477
war, AUX, 1362, VAFIN, 0.94648404
ver.di, PROPN, 11, NE, 0.00764414
plastikmüll, NOUN, 7, NN, 0.00486446
us, PROPN, 4, NE, 0.00277969
seine, DET, 24, PPOSAT, 0.01667813
übergeben, VERB, 1, VVINF, 0.00069492
leben, VERB, 2, VVINF, 0.00138984
abstand, NOUN, 24, NN, 0.01667813
unfallstellen, NOUN, 1, NN, 0.00069492
a31, ADP, 1, ADV, 0.00069492
giftige, ADJ, 6, ADJA, 0.00416953
stellen, VERB, 4, VVFIN, 0.00277969
protestieren, VERB, 4, VVFIN, 0.00277969
überfahren, VERB, 16, VVPP, 0.01111876
windkraftanlage, NOUN, 25, NN, 0.01737306
42,2, NUM, 1, CARD, 0.00069492
radiosender, NOUN, 8, NN, 0.00555938
alarm, NOUN, 3, NN, 0.00208477
darfst, AUX, 1, VMFIN, 0.00069492
tut, VERB, 3, VVFIN, 0.00208477
tanzsportverein, NOUN, 1, NN, 0.00069492
76, NUM, 1, CARD, 0.00069492
klein, ADV, 5, ADJD, 0.00347461
persischen, ADJ, 1, ADJA, 0.00069492
verlierer, NOUN, 3, NN, 0.00208477
gedrückt, VERB, 1, VVPP, 0.00069492
wegen, NOUN, 1, NN, 0.00069492
einzelne, ADJ, 1, ADJA, 0.00069492
diesem, DET, 313, PDAT, 0.21751065
enders, PROPN, 2, NE, 0.00138984
ferlemann, PROPN, 2, NE, 0.00138984
kilo, NOUN, 4, NN, 0.00277969
160, NUM, 6, CARD, 0.00416953
121, NUM, 3, CARD, 0.00208477
neumünster, PROPN, 23, NE, 0.01598321
heizungen, NOUN, 1, NN, 0.00069492
passt, VERB, 1, VVFIN, 0.00069492
frisia, PROPN, 3, NE, 0.00208477
01.10.2018., ADJ, 1, ADJA, 0.00069492
schwimmen, VERB, 1, NN, 0.00069492
angehalten, VERB, 15, VVPP, 0.01042383
paar, DET, 1, PIAT, 0.00069492
stehlen, VERB, 2, VVINF, 0.00138984
650.000, NUM, 2, CARD, 0.00138984
horn, PROPN, 3, NE, 0.00208477
bestraft, VERB, 1, VVPP, 0.00069492
februar, NOUN, 11, NN, 0.00764414
nathalie, PROPN, 8, NE, 0.00555938
passwort, NOUN, 5, NN, 0.00347461
gefunden, VERB, 161, VVPP, 0.11188247
angelique, NOUN, 59, NN, 0.04100041
06.11.2018., NUM, 1, ADJA, 0.00069492
behandelt, VERB, 1, VVFIN, 0.00069492
reparieren, VERB, 16, VVINF, 0.01111876
dammtor, NOUN, 4, NN, 0.00277969
unseren, DET, 12, PPOSAT, 0.00833907
grone, PROPN, 1, NE, 0.00069492
gasflaschen, NOUN, 8, NN, 0.00555938
schlechteste, ADJ, 1, ADJA, 0.00069492
muslimen, NOUN, 1, NN, 0.00069492
rennen, NOUN, 6, NN, 0.00416953
gucken, VERB, 2, VVINF, 0.00138984
schafe, NOUN, 26, NN, 0.01806798
frachter, NOUN, 51, NN, 0.03544103
1,6, NUM, 1, CARD, 0.00069492
anhängern, NOUN, 2, NN, 0.00138984
ostsee, PROPN, 72, NE, 0.05003440
thülsfelder, NOUN, 1, NN, 0.00069492
meistens, ADV, 36, ADV, 0.02501720
langes, ADJ, 3, ADJA, 0.00208477
2002, NUM, 3, CARD, 0.00208477
train, PROPN, 2, NE, 0.00138984
scheue, ADJ, 1, ADJA, 0.00069492
ausleihen, VERB, 1, VVINF, 0.00069492
sachen, NOUN, 62, NN, 0.04308518
gefangen, ADV, 1, PTKVZ, 0.00069492
etzt, VERB, 1, VVPP, 0.00069492
geeinigt, VERB, 3, VVPP, 0.00208477
anderen, ADJ, 274, ADJA, 0.19040868
entlassen, VERB, 28, VVPP, 0.01945782
eingefangen, VERB, 2, VVPP, 0.00138984
bonn, PROPN, 1, NE, 0.00069492
leonie, PROPN, 12, NE, 0.00833907
eckard, PROPN, 11, NE, 0.00764414
weg, ADV, 9, PTKVZ, 0.00625430
löschfahrzeugen, NOUN, 2, NN, 0.00138984
schwindelig, ADV, 2, ADJD, 0.00138984
spahn, PROPN, 4, NE, 0.00277969
rettungswagen, NOUN, 6, NN, 0.00416953
eingestochen, VERB, 2, VVPP, 0.00138984
durfte, AUX, 28, VMFIN, 0.01945782
kranken, ADJ, 19, ADJA, 0.01320352
fußballspiel, NOUN, 36, NN, 0.02501720
kartoffelchips, NOUN, 1, NN, 0.00069492
finden, VERB, 3, VVINF, 0.00208477
milch, NOUN, 12, NN, 0.00833907
ihre, DET, 109, PPOSAT, 0.07574652
rauchen, VERB, 6, VVINF, 0.00416953
unbekannten, ADJ, 8, ADJA, 0.00555938
dicke, ADJ, 4, ADJA, 0.00277969
startbahn, NOUN, 8, NN, 0.00555938
grote, PROPN, 2, NE, 0.00138984
außenminister, NOUN, 3, NN, 0.00208477
17.09.2018., NOUN, 1, NN, 0.00069492
medikament, NOUN, 8, NN, 0.00555938
afrika, PROPN, 1, NE, 0.00069492
fläche, NOUN, 10, NN, 0.00694922
rastplatz, NOUN, 18, NN, 0.01250860
mittwochmitag, NOUN, 1, NN, 0.00069492
6., ADJ, 8, ADJA, 0.00555938
psychisch, ADV, 3, ADJD, 0.00208477
windrädern, NOUN, 1, NN, 0.00069492
schulz, PROPN, 5, NE, 0.00347461
hart, ADV, 4, ADJD, 0.00277969
schweben, VERB, 1, VVINF, 0.00069492
vorbeigefahren, VERB, 1, VVIZU, 0.00069492
gesundheitsminister, NOUN, 5, NN, 0.00347461
technologie-firma, NOUN, 1, NN, 0.00069492
36.000, NUM, 1, CARD, 0.00069492
gearbeitet, VERB, 29, VVPP, 0.02015274
verurteilen, VERB, 3, VVFIN, 0.00208477
frisöre, NOUN, 2, NN, 0.00138984
sand, NOUN, 2, NN, 0.00138984
einer, PRON, 44, PIS, 0.03057658
geweckt, VERB, 1, VVPP, 0.00069492
krankenhausbetten, NOUN, 1, NN, 0.00069492
gezogen, VERB, 1, VVPP, 0.00069492
hahnenklee, PROPN, 1, NE, 0.00069492
gaststätten, NOUN, 7, NN, 0.00486446
seehundstation, NOUN, 10, NN, 0.00694922
stoffe, NOUN, 24, NN, 0.01667813
heizen, VERB, 1, VVINF, 0.00069492
kastorfer, ADJ, 1, ADJA, 0.00069492
bewusstlos, ADV, 2, ADJD, 0.00138984
sehr, ADV, 841, ADV, 0.58442957
reiten, VERB, 1, VVINF, 0.00069492
tanken, VERB, 2, VVFIN, 0.00138984
ermittlungen, NOUN, 4, NN, 0.00277969
lagert, VERB, 3, VVFIN, 0.00208477
grünen, NOUN, 10, NN, 0.00694922
gemüse, NOUN, 9, NN, 0.00625430
universitätsuklinikum, PROPN, 1, NE, 0.00069492
mai, NOUN, 38, NN, 0.02640704
agritechnica, PROPN, 8, NE, 0.00555938
fachleuten, NOUN, 5, NN, 0.00347461
flughafen, NOUN, 86, NN, 0.05976331
breiter, ADV, 5, ADJD, 0.00347461
fach∙leute, NOUN, 2, NN, 0.00138984
landen, VERB, 18, VVINF, 0.01250860
rund, ADV, 2, ADV, 0.00138984
jena, PROPN, 6, NE, 0.00416953
toulouse, PROPN, 2, NE, 0.00138984
fenster, NOUN, 17, NN, 0.01181368
melden, VERB, 1, VVINF, 0.00069492
werkzeugkiste, NOUN, 2, NN, 0.00138984
agritechnica, NOUN, 3, NE, 0.00208477
lückenfüller, PROPN, 1, NE, 0.00069492
kohle, NOUN, 4, NN, 0.00277969
genug, ADV, 1, PIAT, 0.00069492
festgenommen, VERB, 78, VVPP, 0.05420393
hammer, NOUN, 2, NN, 0.00138984
fahren, NOUN, 2, NN, 0.00138984
indonesien, PROPN, 4, NE, 0.00277969
abgestiegen, VERB, 1, VVIZU, 0.00069492
gesetzen, NOUN, 3, NN, 0.00208477
rollstuhl, NOUN, 6, NN, 0.00416953
sters, PROPN, 1, NN, 0.00069492
nein, PART, 1, PTKANT, 0.00069492
2500, NUM, 2, CARD, 0.00138984
alsterschwäne, NOUN, 4, NN, 0.00277969
verbindet, VERB, 4, VVFIN, 0.00277969
bahngleise, NOUN, 6, NN, 0.00416953
ackerlöper, PROPN, 3, NE, 0.00208477
einbrüche, NOUN, 14, NN, 0.00972891
passagieren, NOUN, 1, NN, 0.00069492
sters, NOUN, 1, NN, 0.00069492
soll, AUX, 118, VMFIN, 0.08200082
benachteiligt, VERB, 1, VVPP, 0.00069492
spendenabend, PROPN, 1, NN, 0.00069492
osterferien, PROPN, 1, NE, 0.00069492
bahnhöfen, NOUN, 7, NN, 0.00486446
sich, PRON, 328, PRF, 0.22793448
tischen, NOUN, 1, NN, 0.00069492
hafenbecken, NOUN, 9, NN, 0.00625430
stört, VERB, 2, VVFIN, 0.00138984
oberhausen, PROPN, 2, NE, 0.00138984
indien, PROPN, 2, NE, 0.00138984
relegationsspiele, NOUN, 7, NN, 0.00486446
herbstferien, PROPN, 3, NE, 0.00208477
silvesterböller, PROPN, 1, NE, 0.00069492
spiegel, NOUN, 1, NE, 0.00069492
1., ADV, 16, ADV, 0.01111876
tochter, NOUN, 17, NN, 0.01181368
wahlgebiet, NOUN, 1, NN, 0.00069492
380., NOUN, 1, NN, 0.00069492
sowjetunion, PROPN, 3, NE, 0.00208477
gebratenem, ADJ, 1, ADJA, 0.00069492
lauf, NOUN, 5, NN, 0.00347461
geschwindigkeit, NOUN, 4, NN, 0.00277969
ergebnis, NOUN, 8, NN, 0.00555938
kennen, VERB, 10, VVFIN, 0.00694922
begleiter, NOUN, 1, NN, 0.00069492
ausstattung, NOUN, 3, NN, 0.00208477
erreichen, VERB, 2, VVINF, 0.00138984
a33, ADV, 1, NN, 0.00069492
49, NUM, 1, CARD, 0.00069492
festgesteckt, VERB, 2, VVPP, 0.00138984
transport, NOUN, 4, NN, 0.00277969
energieversorger, NOUN, 2, NN, 0.00138984
beschäftigen, VERB, 1, VVFIN, 0.00069492
messe, NOUN, 75, NN, 0.05211917
schadstoffe, NOUN, 77, NN, 0.05350901
giftig, ADV, 7, ADJD, 0.00486446
besuch, NOUN, 8, NN, 0.00555938
gesangswettbewerb, NOUN, 4, NN, 0.00277969
betreut, VERB, 1, VVPP, 0.00069492
ulrich, PROPN, 3, NE, 0.00208477
verträgen, NOUN, 1, NN, 0.00069492
verlassen, VERB, 38, VVINF, 0.02640704
gutes, ADJ, 4, ADJA, 0.00277969
bergwerken, NOUN, 1, NN, 0.00069492
weggefahren, VERB, 10, VVPP, 0.00694922
tierseuche, NOUN, 7, NN, 0.00486446
benutzen, NOUN, 4, NN, 0.00277969
explosionen, NOUN, 3, NN, 0.00208477
beachvolleyballspielerin, NOUN, 2, NN, 0.00138984
verbote, NOUN, 2, NN, 0.00138984
krankheit, NOUN, 33, NN, 0.02293243
besatzung, NOUN, 1, NN, 0.00069492
heiß, ADV, 18, ADJD, 0.01250860
geburt, NOUN, 5, NN, 0.00347461
autohaus, NOUN, 4, NN, 0.00277969
verwaltung, NOUN, 3, NN, 0.00208477
brunsbüttel, PROPN, 5, NE, 0.00347461
ausgangssperre, NOUN, 8, NN, 0.00555938
tanzen, VERB, 1, VVINF, 0.00069492
zentimeter, NOUN, 2, NN, 0.00138984
98, NUM, 1, CARD, 0.00069492
steigt.nicht, VERB, 1, VVFIN, 0.00069492
buddhismus, NOUN, 2, NN, 0.00138984
geständnis, NOUN, 12, NN, 0.00833907
einzelbewerber, NOUN, 1, NN, 0.00069492
gelandet, VERB, 8, VVPP, 0.00555938
schädlinge, NOUN, 1, NN, 0.00069492
beamte, NOUN, 1, NN, 0.00069492
zügen, NOUN, 7, NN, 0.00486446
maximilan, NOUN, 1, NN, 0.00069492
manege, NOUN, 6, NN, 0.00416953
steine, NOUN, 2, NN, 0.00138984
