Gesamtzahl aller Wörter: 143901

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
-------------------------|------|-------|-------|--------
ice-züge                 | NOUN | 5     | NN    | 0.0034746110172966136
reportage                | NOUN | 5     | NN    | 0.0034746110172966136
gefüllt                  | VERB | 1     | VVPP  | 0.0006949222034593227
retter                   | NOUN | 4     | NN    | 0.0027796888138372907
feuerwehrleute           | NOUN | 67    | NN    | 0.046559787631774624
umgefallen               | VERB | 8     | VVPP  | 0.0055593776276745815
waschen                  | NOUN | 1     | NN    | 0.0006949222034593227
mundschutz               | NOUN | 2     | NN    | 0.0013898444069186454
schleudern               | NOUN | 1     | NN    | 0.0006949222034593227
samba                    | PROPN| 2     | NE    | 0.0013898444069186454
rebbe                    | PROPN| 4     | NE    | 0.0027796888138372907
küsten                   | NOUN | 1     | NN    | 0.0006949222034593227
hören                    | VERB | 42    | VVINF | 0.029186732545291555
karl-may-spielen         | NOUN | 15    | NN    | 0.010423833051889842
landeslied               | PROPN| 1     | NE    | 0.0006949222034593227
heavy                    | NOUN | 2     | NN    | 0.0013898444069186454
computerprogramm         | NOUN | 1     | NN    | 0.0006949222034593227
zugegangen               | VERB | 1     | VVPP  | 0.0006949222034593227
anhänger                 | NOUN | 5     | NN    | 0.0034746110172966136
glücklich                | ADV  | 8     | ADJD  | 0.0055593776276745815
taschentuch              | NOUN | 5     | NN    | 0.0034746110172966136
delmenhorst              | PROPN| 8     | NE    | 0.0055593776276745815
schwimmern               | NOUN | 2     | NN    | 0.0013898444069186454
getroffen                | VERB | 23    | VVPP  | 0.015983210679564423
operation                | NOUN | 7     | NN    | 0.0048644554242152594
vertrag                  | NOUN | 6     | NN    | 0.0041695332207559365
großensee                | PROPN| 2     | NE    | 0.0013898444069186454
a1                       | PROPN| 59    | NE    | 0.04100041000410004
völsch                   | PROPN| 1     | NN    | 0.0006949222034593227
passiert                 | VERB | 140   | VVPP  | 0.09728910848430518
hängen                   | VERB | 1     | VVINF | 0.0006949222034593227
auszeichnungen           | NOUN | 1     | NN    | 0.0006949222034593227
umwelt                   | NOUN | 14    | NN    | 0.009728910848430519
lernen                   | VERB | 8     | VVFIN | 0.0055593776276745815
wiegen                   | VERB | 1     | VVFIN | 0.0006949222034593227
ändern                   | VERB | 4     | VVINF | 0.0027796888138372907
löschboot                | NOUN | 2     | NN    | 0.0013898444069186454
tage                     | NOUN | 19    | NN    | 0.013203521865727132
arbeitern                | NOUN | 18    | NN    | 0.012508599662267809
peenemünde               | PROPN| 1     | NE    | 0.0006949222034593227
normaler                 | ADJ  | 1     | ADJA  | 0.0006949222034593227
kümmern                  | VERB | 17    | VVFIN | 0.011813677458808486
mitgenommen              | VERB | 1     | VVPP  | 0.0006949222034593227
eichholz                 | PROPN| 1     | NE    | 0.0006949222034593227
beispiel                 | NOUN | 1228  | NN    | 0.8533644658480483
vorher                   | ADV  | 11    | ADV   | 0.00764414423805255
kosten                   | VERB | 1     | VVINF | 0.0006949222034593227
größte                   | ADJ  | 47    | ADJA  | 0.032661343562588166
beispiele                | NOUN | 5     | NN    | 0.0034746110172966136
dhb                      | PROPN| 2     | NE    | 0.0013898444069186454
winterhude               | PROPN| 3     | NE    | 0.0020847666103779683
otte-kinast              | PROPN| 2     | NE    | 0.0013898444069186454
sonntage                 | NOUN | 1     | NN    | 0.0006949222034593227
mal                      | NOUN | 28    | NN    | 0.019457821696861038
bahnhof                  | NOUN | 53    | NN    | 0.0368308767833441
backhaus                 | PROPN| 8     | NE    | 0.0055593776276745815
rügendamm                | PROPN| 8     | NE    | 0.0055593776276745815
matthies                 | PROPN| 1     | NE    | 0.0006949222034593227
erpressung               | NOUN | 6     | NN    | 0.0041695332207559365
mord                     | NOUN | 7     | NN    | 0.0048644554242152594
geklagt                  | VERB | 4     | VVPP  | 0.0027796888138372907
ergebnisse               | NOUN | 1     | NN    | 0.0006949222034593227
16.000                   | NUM  | 2     | CARD  | 0.0013898444069186454
jahres                   | NOUN | 5     | NN    | 0.0034746110172966136
a1.                      | ADV  | 7     | ADJD  | 0.0048644554242152594
kleine                   | ADJ  | 34    | ADJA  | 0.02362735491761697
orte                     | NOUN | 28    | NN    | 0.019457821696861038
flugzeugen               | NOUN | 11    | NN    | 0.00764414423805255
meinung                  | NOUN | 21    | NN    | 0.014593366272645777
schweres                 | ADJ  | 1     | ADJA  | 0.0006949222034593227
geworden                 | AUX  | 36    | VAPP  | 0.025017199324535618
unbekannten              | NOUN | 4     | NN    | 0.0027796888138372907
begleitet                | VERB | 1     | VVFIN | 0.0006949222034593227
brakelmann               | PROPN| 1     | NE    | 0.0006949222034593227
ausgepackt               | VERB | 2     | VVPP  | 0.0013898444069186454
sommer                   | NOUN | 11    | NN    | 0.00764414423805255
oberbillwerder           | PROPN| 3     | NE    | 0.0020847666103779683
6500                     | NUM  | 2     | CARD  | 0.0013898444069186454
jeder                    | DET  | 1     | PIS   | 0.0006949222034593227
