Wort, POS, Count, TAG, Lexikalische Vielfalt
vergrößern, VERB, 1, VVINF, 0.00132732
bringen, VERB, 8, VVFIN, 0.01061853
manche, DET, 11, PIAT, 0.01460048
ausgeraubt, VERB, 2, VVPP, 0.00265463
transportiert, VERB, 2, VVPP, 0.00265463
3, NUM, 110, CARD, 0.14600478
norden, NOUN, 5, NN, 0.00663658
am, ADP, 242, APPRART, 0.32121051
a215, PROPN, 6, NE, 0.00796390
ausweis, NOUN, 1, NN, 0.00132732
egestorf, PROPN, 1, NE, 0.00132732
scorpions, PROPN, 1, NE, 0.00132732
regiert, VERB, 1, VVFIN, 0.00132732
schlafen, VERB, 2, VVFIN, 0.00265463
unfall, NOUN, 606, NN, 0.80435360
frauenfußball, NOUN, 1, NN, 0.00132732
sturmflut, NOUN, 15, NN, 0.01990974
gezeigt, VERB, 2, VVPP, 0.00265463
2021., NUM, 1, NN, 0.00132732
sexuellen, ADJ, 4, ADJA, 0.00530926
strahlt, VERB, 1, VVFIN, 0.00132732
erst, ADV, 14, ADV, 0.01858243
soll, AUX, 43, VMFIN, 0.05707460
seehund, NOUN, 7, NN, 0.00929121
landwirtschaftsmesse, NOUN, 4, NN, 0.00530926
a1., ADJ, 1, ADJA, 0.00132732
gefeiert, VERB, 6, VVPP, 0.00796390
jübek, PROPN, 2, NE, 0.00265463
71.200, NUM, 1, CARD, 0.00132732
stimmzettel, NOUN, 4, NN, 0.00530926
auto, NOUN, 238, NN, 0.31590125
elbchaussee, NOUN, 2, NN, 0.00265463
is, NOUN, 1, NE, 0.00132732
gewerbegebiet, NOUN, 5, NN, 0.00663658
giftigen, ADJ, 4, ADJA, 0.00530926
05.02.2019., NUM, 1, ADJA, 0.00132732
alba, PROPN, 2, NE, 0.00265463
pause, NOUN, 3, NN, 0.00398195
chef, NOUN, 41, NN, 0.05441996
elbphilharmonie, NOUN, 3, NN, 0.00398195
verdächtiges, NOUN, 1, NN, 0.00132732
schneiden, VERB, 1, VVFIN, 0.00132732
geben, VERB, 15, VVINF, 0.01990974
volleyballerinnen, NOUN, 5, NN, 0.00663658
müssen, AUX, 130, VMFIN, 0.17255110
geldprobleme, NOUN, 2, NN, 0.00265463
oke, PROPN, 2, NE, 0.00265463
a7, NOUN, 1, XY, 0.00132732
kohl, PROPN, 4, NE, 0.00530926
heiß, ADV, 12, ADJD, 0.01592779
timmendorf, PROPN, 3, NE, 0.00398195
spielt, VERB, 29, VVFIN, 0.03849217
16.07.2019., NOUN, 1, NN, 0.00132732
möchte, AUX, 5, VMFIN, 0.00663658
4000, NUM, 2, CARD, 0.00265463
enden, VERB, 2, VVFIN, 0.00265463
rufen, VERB, 1, VVINF, 0.00132732
lüftungsschacht, NOUN, 4, NN, 0.00530926
gasflaschen, NOUN, 7, NN, 0.00929121
segelboote, NOUN, 2, NN, 0.00265463
wert, ADV, 2, ADJD, 0.00265463
212., NUM, 1, CARD, 0.00132732
tatortreiniger, NOUN, 1, NN, 0.00132732
traurig, ADV, 1, ADJD, 0.00132732
heavy, X, 1, XY, 0.00132732
babys, NOUN, 1, NN, 0.00132732
größere, ADJ, 1, ADJA, 0.00132732
7:5, NUM, 1, CARD, 0.00132732
lessingtunnel, NOUN, 6, NN, 0.00796390
verkleidet, VERB, 1, VVPP, 0.00132732
verbrennen, VERB, 1, VVFIN, 0.00132732
28.06.2019., NOUN, 1, NN, 0.00132732
erneuerung, NOUN, 3, NN, 0.00398195
insolvenz·verwalter, NOUN, 1, NN, 0.00132732
14.02.2020., NOUN, 1, ADJA, 0.00132732
herausgekommen, VERB, 1, VVPP, 0.00132732
sonne, NOUN, 3, NN, 0.00398195
fischart, NOUN, 1, NN, 0.00132732
nonnendorf, PROPN, 2, NE, 0.00265463
süden, NOUN, 6, NN, 0.00796390
geprallt, VERB, 5, VVPP, 0.00663658
geburt, NOUN, 1, NN, 0.00132732
basketball-bundesliga, NOUN, 1, NN, 0.00132732
bauer, NOUN, 6, NN, 0.00796390
verhandlungen, NOUN, 3, NN, 0.00398195
angelika, PROPN, 6, NE, 0.00796390
intercity-express, PROPN, 3, NE, 0.00398195
verbotenes, NOUN, 23, NN, 0.03052827
