         11364780 function calls (10967982 primitive calls) in 156.532 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.092    0.092  156.542  156.542 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\studentcode.py:124(main)
        1    0.020    0.020  124.806  124.806 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\utils.py:83(create_synonyms_list)
      299    0.018    0.000  124.170    0.415 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\utils.py:49(getSynonymsWikitionary)
      299    0.007    0.000  124.122    0.415 C:\Python38\lib\site-packages\requests\api.py:62(get)
      299    0.005    0.000  124.115    0.415 C:\Python38\lib\site-packages\requests\api.py:14(request)
      299    0.007    0.000  124.045    0.415 C:\Python38\lib\site-packages\requests\sessions.py:502(request)
      299    0.010    0.000  123.450    0.413 C:\Python38\lib\site-packages\requests\sessions.py:673(send)
      299    0.008    0.000  111.919    0.374 C:\Python38\lib\site-packages\requests\adapters.py:434(send)
      299    0.009    0.000  111.360    0.372 C:\Python38\lib\site-packages\urllib3\connectionpool.py:596(urlopen)
      299    0.007    0.000  111.291    0.372 C:\Python38\lib\site-packages\urllib3\connectionpool.py:381(_make_request)
     1112    0.007    0.000   97.869    0.088 C:\Python38\lib\socket.py:655(readinto)
     1112    0.006    0.000   97.860    0.088 C:\Python38\lib\ssl.py:1230(recv_into)
     1112    0.004    0.000   97.853    0.088 C:\Python38\lib\ssl.py:1090(read)
     1112   97.848    0.088   97.848    0.088 {method 'read' of '_ssl._SSLSocket' objects}
     8842    0.011    0.000   97.515    0.011 {method 'readline' of '_io.BufferedReader' objects}
      299    0.012    0.000   87.035    0.291 C:\Python38\lib\site-packages\urllib3\connection.py:435(getresponse)
      299    0.003    0.000   86.950    0.291 C:\Python38\lib\http\client.py:1278(getresponse)
      299    0.008    0.000   86.935    0.291 C:\Python38\lib\http\client.py:296(begin)
      299    0.006    0.000   86.758    0.290 C:\Python38\lib\http\client.py:263(_read_status)
      299    0.002    0.000   24.167    0.081 C:\Python38\lib\site-packages\urllib3\connectionpool.py:1089(_validate_conn)
      299    0.010    0.000   24.165    0.081 C:\Python38\lib\site-packages\urllib3\connection.py:609(connect)
      330    0.238    0.001   17.456    0.053 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\studentcode.py:47(count_words_and_pos_tags)
      330    0.030    0.000   17.089    0.052 C:\Python38\lib\site-packages\spacy\language.py:1016(__call__)
     1980    3.872    0.002   15.982    0.008 spacy\pipeline\trainable_pipe.pyx:40(__call__)
      299    0.012    0.000   14.661    0.049 C:\Python38\lib\site-packages\urllib3\connection.py:708(_ssl_wrap_socket_and_match_hostname)
      299    0.005    0.000   14.342    0.048 C:\Python38\lib\site-packages\urllib3\util\ssl_.py:398(ssl_wrap_socket)
     1307    0.002    0.000   11.308    0.009 C:\Python38\lib\site-packages\requests\models.py:887(content)
     3609    0.006    0.000   11.308    0.003 {method 'join' of 'bytes' objects}
     1001    0.002    0.000   11.302    0.011 C:\Python38\lib\site-packages\requests\models.py:812(generate)
     1001    0.002    0.000   11.299    0.011 C:\Python38\lib\site-packages\urllib3\response.py:914(stream)
      762    0.010    0.000   10.914    0.014 C:\Python38\lib\site-packages\urllib3\response.py:1032(read_chunked)
     1044    0.005    0.000   10.767    0.010 C:\Python38\lib\site-packages\urllib3\response.py:996(_update_chunk_length)
     1980    0.130    0.000   10.648    0.005 C:\Python38\lib\site-packages\thinc\model.py:330(predict)
48510/3960    0.124    0.000   10.424    0.003 C:\Python38\lib\site-packages\thinc\model.py:307(__call__)
      299    0.001    0.000   10.416    0.035 C:\Python38\lib\site-packages\urllib3\util\ssl_.py:499(_ssl_wrap_socket_impl)
      299    0.003    0.000   10.414    0.035 C:\Python38\lib\ssl.py:494(wrap_socket)
      299    0.012    0.000   10.411    0.035 C:\Python38\lib\ssl.py:983(_create)
      299    0.004    0.000   10.362    0.035 C:\Python38\lib\ssl.py:1302(do_handshake)
      299   10.356    0.035   10.356    0.035 {method 'do_handshake' of '_ssl._SSLSocket' objects}
16830/1980    0.128    0.000    9.954    0.005 C:\Python38\lib\site-packages\thinc\layers\chain.py:48(forward)
      299    0.004    0.000    9.489    0.032 C:\Python38\lib\site-packages\urllib3\connection.py:197(_new_conn)
      299    0.006    0.000    9.483    0.032 C:\Python38\lib\site-packages\urllib3\util\connection.py:27(create_connection)
      299    9.307    0.031    9.307    0.031 {method 'connect' of '_socket.socket' objects}
     2970    0.021    0.000    8.779    0.003 C:\Python38\lib\site-packages\thinc\layers\with_array.py:32(forward)
